honestyhumility,emotionality,extraversion,agreeableness,conscientiousness,openness,ID
4.5,4.7,4.1,4.1,4.4,3.1,1
4.2,2.8,4.3,4.2,3.8,3.7,2
3.5,2.7,4,3.2,4.8,3.5,3
3.6,3.8,3,3.2,4,3.7,4
3.7,2.11111111111111,4.2,3.6,4.3,4.44444444444444,5
4.1,2.7,4.2,3.5,4.2,4,6
4.5,3.4,2,2.6,4.4,3.3,7
4,4,3.6,1.9,4.8,2.8,8
3.9,3.1,2.3,3.1,4,3.5,9
4,4,3.1,3.1,4.7,3.3,10
2.7,4.1,3,2.2,4.4,3.4,11
4.3,3.3,4.1,3.7,4.4,3.7,12
3.8,3.6,3.5,3,3.7,3.5,13
4.5,3.7,3.4,2.44444444444444,4.6,2.2,14
4.4,2.5,3.8,3.5,4.1,4.4,15
4.2,3,3.2,3.7,3.2,2.1,16
3.4,3.7,3.8,1.6,3,4.4,17
4.8,4.5,3.7,3.2,3.7,3.2,18
2.8,2.8,3.4,3.1,3.5,3.7,20
4.2,3.8,3.9,2.4,4.1,2.5,21
4.7,4.3,4.6,3.8,4.3,4.3,22
4.4,3.1,3.5,3.9,4.3,3.6,23
4.8,3.1,3,3.8,4.6,2.9,24
3.8,3.3,3.1,3.1,3.7,2.1,25
2.8,4.3,4.1,2.9,4.8,2.2,26
3.7,2.9,2.75,4.11111111111111,4.8,3.8,27
3.9,3.5,3.1,3.4,4.1,3.1,28
3.5,3.6,3.5,3.5,4,2.8,28
4,3.3,1.9,1.7,4.2,3.6,29
3.2,3.3,2.8,3.5,4,3.1,30
3,4.3,4.1,2.4,4,3.3,31
4,3.7,3.4,3.2,3.7,3.5,32
2.8,3.1,4.8,1.4,4.7,1.6,33
4.3,3.8,3.3,3.2,2.9,2.9,34
3.3,4.5,3.5,2.6,4,2.9,35
4.3,2.88888888888889,2.3,3.7,4.7,2.5,36
3.7,4.3,4.2,2,4.1,4,37
3.8,2.9,3.1,2.9,3.8,4.2,39
3.5,1.5,3.9,3.4,3.8,4.4,40
3.8,1.6,4,3.7,3.9,4.5,41
3.3,4.3,3.1,2.6,3.3,1.44444444444444,42
4.2,1.9,2.6,3.1,4.1,4.4,45
3.7,3.2,2.6,3.4,4.3,2.3,46
3.6,3.8,3.6,3.2,3.8,3.1,47
4.3,3.7,4,2.7,4.6,3.3,48
3.44444444444444,3.5,2.7,3.3,3.2,3.2,49
4.3,3.6,1.5,2.8,3.2,4.4,50
4.8,3,4.2,3.5,4.5,3.3,51
2.8,3.3,3.2,2.7,4,4.1,52
4.1,3.4,3.8,2.8,3.9,3.3,53
4,3.1,2.8,2.2,3,3,54
4.3,3.9,3.1,3.1,4,3.2,55
3.1,4,2.5,2.4,3.1,2.6,56
4,1.5,3.9,3.5,4.9,4.1,57
4,4.1,2.9,2.4,3.1,3.7,58
3.8,3,3.2,2.8,3.7,2.4,59
2.8,4.1,4.6,3.9,4.1,4.8,60
4.4,2.5,4.1,3.4,4.2,3.1,61
4,2.9,4.6,2.9,3.5,3.9,62
3.6,4.2,2.7,3.6,4.2,2.9,63
4,3.3,4.6,3.5,4.2,3.9,64
3.6,2.9,4.2,2.9,4.3,2.5,65
3.5,3.9,4.1,2.5,3.8,3.8,66
3.7,3.7,2.9,2.2,3.9,2.1,67
2.5,3.3,3.6,3,3.2,3.4,68
4.8,2.9,3.9,4.5,4.3,3.1,69
3.4,3,4.5,3.4,4.5,4.9,70
2.4,4.2,2.8,1.3,2.6,3.4,71
3.9,3.6,3.7,3.6,4.1,3,72
2.9,2.8,3.4,1.8,3.1,4.3,73
3.4,4.9,1.7,3.5,2.1,3.8,74
4.8,3.1,4.3,3.9,4.5,2.9,75
3.8,3.3,3.1,3.7,4.1,2.7,76
3.9,2.9,3,3,4,3.1,77
3.9,3.9,3.2,3.3,4,3.1,78
3.2,2.9,3.4,2.2,4.1,4.6,79
